"No.","IP Address","Type","Serial Number","Code","Receive Date","Warranty Date","DocRefer1","DocRefer2","Brand","Model","CPU Brand","CPU Speed","Capacity","Ram","Detail 1","Detail 2","Detail 3","Detail 4","Detail 5","Detail 6","OS License","OS Installed","Note","Location" 
"1"," ","Monitor","CNT9190117","OF09-06-008","Aug 3 2009 12:00AM"," ","CH-BP-001"," ","HP","W185 - LCD 18 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI01                                                                          ","General OfficeFactory 1" 
"2"," ","Printers","15307B312E"," ","Jan 16 2017 12:00AM","12"," "," ","Henywell","PC42T"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Warehouse RoomFactory 1" 
"3","192.168.10.","Computer","DMN2VG2"," ","Aug 8 2017 12:00AM","36"," "," ","Dell","OptiPlex 3046","i3","3.70 ","1000","4096"," "," "," "," "," "," ","Windows10 Pro 64 bit","Windows 7 32 bit","IT05","Production OfficeFactory 1" 
"4","000.000.00.3","Computer","Machine PC"," -","Oct 5 2012 12:00AM"," ","CH-QC-009"," ","LOGITECH","A_LCT SM-74N08","Intel Pentium Dual-core E5300","2.60","320","1024","(DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," ","32 bit","Windows XP","Windows XP","                                               ","QA/QC Test RoomFactory 1" 
"5","000.000.00.6","Printers","QAHP80000"," ","May 10 2012 12:00AM"," ","CD09"," ","HP","HP Office Pro 8000"," "," ","0","0"," "," "," "," "," "," "," "," "," ","QA/QC Test RoomFactory 1" 
"6","192.168.10.2","Accessories","Assess point "," ","Jun 2 2013 12:00AM","0"," "," ","HP","E-MSM466"," "," ","0","0"," "," "," "," ","28-92-4A-93-5D-00"," "," "," ","                                               ","Production OfficeFactory 1" 
"7","192.168.10.3","Accessories","Access point"," ","May 8 2014 12:00AM","0"," "," ","LINKSYS","E1200"," "," ","0","0"," "," "," "," ","C8-B3-73-44-41-AE"," "," "," ","                                                                      ","Warehouse RoomFactory 1" 
"8","192.168.10.4","Accessories","Access point"," ","Jun 2 2011 12:00AM","0"," "," ","LINKSYS","WAP610N "," "," ","0","0"," "," "," "," ","98-FC-11-A7-EF-84"," "," "," ","                                                                      ","Production OfficeFactory 1" 
"9","192.168.10.5","Accessories","Access point"," ","Jun 2 2009 12:00AM","0"," "," ","LINKSYS","WAP54G"," "," ","0","0"," "," "," "," ","00-23-69-78-8A-7A"," "," "," ","                                               ","Assembly AreaFactory 1" 
"10","192.168.10.6","Accessories","Access point"," ","Jun 2 2014 12:00AM","0"," "," ","LINKSYS","WAP54G"," "," ","0","0"," "," "," "," ","00-21-29-EB-B7-D8 "," "," "," ","                                               ","Production OfficeFactory 2" 
"11","192.168.10.7","Accessories","3907061042","OF09-08-078","Jun 2 2009 12:00AM","0"," "," ","Blue Coat Proxy","210-10 "," "," ","0","0"," "," "," "," ","00-D0-83-04-EE-A7 "," "," "," ","                                                                                                                                           ","Server RoomFactory 1" 
"12","192.168.10.8","Accessories","9J8FATNB43576"," ","Jun 2 2010 12:00AM"," "," "," ","3COM"," "," "," ","0","0"," "," "," "," ","00-22-57-B4-3D-7A"," "," "," ","                                               ","Server RoomFactory 1" 
"13","192.168.10.9","Accessories","CN56GP72SY"," ","Sep 15 2015 12:00AM"," "," "," ","HP","1920   48/G"," "," ","0","0"," "," "," "," ","84-2b-2b-b0-18-25"," "," "," ","                                                                                                                    ","Server RoomFactory 1" 
"14","000.000.00.10","Printers","MP14501"," ","May 4 2010 12:00AM"," ","CD03"," ","CANON","MP-145"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Server RoomFactory 1" 
"15","000.000.00.12","Accessories","CN2ADXZ1GF"," ","Jun 10 2013 12:00AM"," "," "," ","HP","1410-8  Switch 8 Port 10/100"," "," ","0","0"," "," "," "," "," "," "," "," ","                        ","Production OfficeFactory 2" 
"16","000.000.00.13","Accessories","DNI171004Z5"," ","Jun 10 2013 12:00AM","12"," "," ","CISCO","SG90D-08 Switch 8 port Gigabit"," "," ","0","0"," "," "," "," "," "," "," "," ","                                                                                             ","Server RoomFactory 1" 
"17","000.000.00.14","Accessories","QB20186019963"," ","Sep 14 2011 12:00AM"," "," "," ","DLINK","DES-1008A SWITCH 8 PORT"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Server RoomFactory 1" 
"18","000.000.00.15","Accessories","QB3A1B6008140"," ","Sep 14 2011 12:00AM"," "," "," ","DLINK","DES-1016A SWITCH 16 PORT"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Production OfficeFactory 1" 
"19","000.000.00.16","Accessories","F37098802444"," ","Nov 2 2011 12:00AM"," "," "," ","DLINK","DGS-1008D SWITCH 8 PORT"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Presentation RoomFactory 1" 
"20","000.000.00.17","Accessories","HPQ-J9661A"," ","Oct 22 2012 12:00AM"," "," "," ","HP","V1410-8 Switch 10/100"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Warehouse RoomFactory 1" 
"21","000.000.00.18","Accessories","HPQ-J9559A"," ","Oct 22 2012 12:00AM"," "," "," ","HP","V1410-8 GSwitch 10/100/1000"," "," ","0","0"," "," "," "," "," "," "," "," "," ","General OfficeFactory 1" 
"22","000.000.00.19","Accessories","HPQ-J9561A","OF13-09-204","Sep 12 2013 12:00AM"," "," "," ","HP","V1410-24G Switch "," "," ","0","0"," "," "," "," "," "," "," "," ","                        ","Server RoomFactory 1" 
"23","000.000.00.20","Accessories","Switch"," ","Jun 3 2009 12:00AM"," "," "," ","3COM","5 Port 10/100"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Production OfficeFactory 1" 
"24","000.000.00.21","Accessories","X100148C","OF09-07-028","Aug 25 2009 12:00AM","0"," "," ","Canon","LV-7365"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Presentation RoomFactory 1" 
"25","192.168.10.10","Accessories","UPS(APC)"," ","Jun 2 2009 12:00AM","0","it "," ","APC","Smart-UPS 3000 RM"," "," ","0","0"," UPS"," "," "," ","00-C0-B7-D7-1F-01 "," "," "," ","                                                                                             ","Server RoomFactory 1" 
"26","192.168.10.11","Server","YKKG001174","OF09-08-075","Aug 3 2009 12:00AM"," ","CH-IT-002"," ","FUJITSU","PRIMERGY TX200 S5","Intel Xeon CPU E5506","2.13","830","4096","FUJITSU RC24","(CD/DVD)","Sound Card: Onboard","Lan Card: Onboard","00-15-17-BC-0E-61"," 32 bit","Windows Server 2008 r2","Windows Server 2003 r2","                                                                                             ","Server RoomFactory 1" 
"27","192.168.10.11","TapeReader","TAPE-001","FA13-03-407","Mar 7 2013 12:00AM","6","CH-IT-002"," "," "," "," "," ","0","0"," "," "," "," "," "," "," "," ","                                                                                             ","Server RoomFactory 1" 
"28","192.168.10.12","Server","YKHJ002198","OF09-08-076","May 26 2014 12:00AM"," ","CH-IT-003"," ","FUJITSU","PRIMERGY RX200 S5","Intel Xeon CPU E5506","2.13","140","4096","FUJITSU RC24","CD/DVD","Sound Card: Onboard","Lan Card: Onboard","00-0A-E4-8B-76-9C","32 bit","Windows Server 2008 r2","Windows Server 2003 r2","                                                                                                                                                                                                                                       ","Server RoomFactory 1" 
"29","192.168.10.13","Server","YKHJ002199","OF09-08-077","Aug 3 2009 12:00AM"," ","CH-IT-004"," ","FUJITSU","PRIMERGY RX200 S5","Intel Pentium III Xeon processor","2.1","280","2048","FUJITSU RC24","CD/DVD","Sound Card: Onboard","Lan Card: Onboard","00-0A-E4-8B-76-AE ","32 bit","Windows Server 2008 r2","Windows Server 2003 r2","                                                                                             ","Server RoomFactory 1" 
"30","192.168.10.14","Server","OGURANAS","OF09-08-073","Aug 23 2009 12:00AM"," ","CH-IT-010"," ","BUFFALO","Tera Station Pro"," "," ","0","0"," "," "," "," ","00-1D-73-26-72-11"," "," "," ","                                               ","Server RoomFactory 1" 
"31","192.168.10.15","Computer","HRTIME01","OF09-07-010","Aug 25 2009 12:00AM"," ","CH-IT-011"," ","ASUS","VENTO AK"," Intel Core Duo E8400","3.0","0","2048"," "," "," "," ","00-13-F7-FE-68-5D"," ","Windows Vista","Windows XP","                                                                                                                    ","Server RoomFactory 1" 
"32","192.168.10.15","Monitor","ETLEXW0019240725F4330","OF09-07-010","Aug 25 2009 12:00AM"," ","CH-IT-011"," ","ACER","LCD  21 Inch"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Server RoomFactory 1" 
"33","192.168.10.16","Accessories","CCTV01"," ","Aug 25 2009 12:00AM"," ","CH-IT-012"," ","SECOM","GANZ"," "," ","4096","0"," "," "," "," ","00-11-5F-04-62-A8 "," "," "," ","                        ","Server RoomFactory 1" 
"34","192.168.10.16","Monitor","DELLCCTV-001"," ","Aug 25 2009 12:00AM"," ","CH-IT-012"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Server RoomFactory 1" 
"35","192.168.10.17","Accessories","CCTV02"," ","Oct 1 2012 12:00AM"," ","CH-IT-013"," ","SECOM","GANZ"," "," ","4096","0"," "," "," "," ","00-11-5F-0B-8A-D2"," "," "," ","                        ","Production OfficeFactory 2" 
"36","192.168.10.17","Monitor","DELLCCTV-002"," ","Oct 1 2012 12:00AM"," ","CH-IT-013"," ","DELL","21 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","                                               ","Production OfficeFactory 2" 
"37","192.168.10.20","Computer","CNX8491900","OF09-01-003","Aug 3 2009 12:00AM"," ","CH-AC-001"," ","HP","Pavilion FT936AA-AKL G36721","Intel Pentium Dual E2220","2.20","480","2048","HP (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-21-85-C7-C5-44","32 bit","Windows Vista","Windows XP","IT-LOG
                                                 ","Server RoomFactory 1" 
"38","192.168.10.21","Accessories","Print Server"," ","Jun 3 2009 12:00AM"," "," "," ","DLINK","DPR-1061"," "," ","0","0"," Print Server"," "," "," ","00-26-5A-78-31-E9"," "," "," ","                                               ","General OfficeFactory 1" 
"39","192.168.10.21","Printers","HRLQ2180I"," ","May 4 2010 12:00AM"," ","CD06"," ","EPSON","LQ-2180I"," "," ","0","0"," "," "," "," "," "," "," "," "," ","General OfficeFactory 1" 
"40","192.168.10.22","Printers","DCK01908"," ","May 4 2010 12:00AM"," ","CD01"," ","CANON","IRC2550"," "," ","0","0"," "," "," "," ","00-00-85-BE-5E-FE"," "," "," ","                        ","Production OfficeFactory 2" 
"41","192.168.10.23","Printers","VNC3F03465","OF11-07-165","Jul 11 2011 12:00AM"," ","CD08"," ","HP","Laserjet P1102W"," "," ","0","0"," "," "," "," ","68-B5-99-8A-B0-CB "," "," "," ","                                               ","General OfficeFactory 1" 
"42","192.168.10.24","Printers","707363","OF13-06-197","Jul 31 2013 12:00AM"," ","CD12"," ","FUJI XEROX","DocuCenter - IV C3373"," "," ","0","0"," "," "," "," ","08-00-37-C8-5B-E9"," "," "," ","                                               ","Production OfficeFactory 1" 
"43","192.168.10.25","Printers","NXP05467","OF14-02-212","Feb 13 2014 12:00AM","36","CD13","OCTS-5702008","CANON","MF4720W"," "," ","0","0"," "," "," "," ","2C-9E-FC-5E-64-2E "," "," "," ","                                                                      ","General OfficeFactory 1" 
"44","192.168.10.26","Printers","NXP17757"," ","Jan 13 2015 12:00AM","36"," "," ","Canon","MF4720w"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Warehouse RoomFactory 1" 
"45","192.168.10.27","Printers","NXP17708"," ","Mar 31 2015 12:00AM","24"," "," ","CANON","MF4700 Series"," "," ","0","0"," "," "," "," "," F4-81-39-FE-AB-9C"," "," "," ","                                                                      ","Production OfficeFactory 1" 
"46","192.168.10.30","Accessories","X4YT7Z00010"," ","Apr 19 2018 12:00AM","24"," "," ","EPSON","EB-W39"," "," ","0","0"," "," "," "," "," "," "," "," "," ","Presentation RoomFactory 1" 
"47","192.168.10.31","Accessories","U57K3Y00150"," ","Jun 4 2014 12:00AM","36"," "," ","EPSON Projector","EB-965"," "," ","0","0"," "," "," "," ","AC-18-26-22-16-5B"," "," "," ","                                                                                             ","Presentation RoomFactory 1" 
"48","192.168.10.91","Computer","DW9R52S","FA10-06-146","Feb 23 2011 12:00AM","36","CH-QC-008"," ","DELL","OptiPlex 780","Intel Pentium Dual-core E5400","2.70","160","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","B8-AC-6F-28-13-50","32 bit","Windows 7","Windows 2000","QAQC RAP                                                                         ","QA/QC Test RoomFactory 1" 
"49","192.168.10.91","Monitor","CN-0M875N-64180-04R-15YM","FA10-06-146","Feb 23 2011 12:00AM","36","CH-QC-008"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC RAP ","QA/QC Test RoomFactory 1" 
"50","192.168.10.92","Computer","FW9R52S","FA09-08-076","Feb 23 2011 12:00AM","36","CH-QC-007"," ","DELL","OptiPlex 780","Intel Pentium Dual-core E5400","2.70","160","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," ","32 bit","Windows 7","Windows 2000","QAQC RAP                                                                                                                                            ","QA/QC Test RoomFactory 1" 
"51","192.168.10.92","Monitor","CN-0M875N-64180-0BG-1H4V","FA10-06-146","Feb 23 2011 12:00AM","36","CH-QC-007"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC RAP                                             ","QA/QC Test RoomFactory 1" 
"52","192.168.20.37","Accessories","V11H839052"," ","Jan 31 2019 12:00AM","36"," "," ","EPSON","EB-X05 Projector"," "," ","0","0"," "," "," "," "," "," "," "," ","Projector","Presentation RoomFactory 1" 
"53","192.168.10.101","Computer","7RD8GY1","FA13-09-426","Sep 19 2013 12:00AM","36","CH-HR-006","OCTS-5608043","DELL","OptiPlex 3010","Intel Core i3 - 3220","3.30","1024","4096","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," ","32 bit","Windows 8","Windows 7","HR01                                                                                          ","General OfficeFactory 1" 
"54","192.168.10.101","Monitor","3CQ8364J0H","OF08-12-002","Aug 3 2009 12:00AM"," ","CH-HR-001"," ","HP","W1907V - LCD 19 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","HR01 ","General OfficeFactory 1" 
"55","192.168.10.102","Computer","DDW7B2S","OF11-11-178","Oct 25 2011 12:00AM","36","CH-HR-004"," ","DELL","OptiPlex 390","Intel Core i3 - 2100","3.1","320","2048","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","D0-67-E5-0E-D9-47","32 bit","Windows 7","Windows 7","HR03                    ","General OfficeFactory 1" 
"56","192.168.10.102","Monitor","CN-04H19R-72872-1AH-E6JM","OF11-11-178","Oct 25 2011 12:00AM","36","CH-HR-004"," ","DELL","E1912HF - LED 18 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","HR03                       ","General OfficeFactory 1" 
"57","192.168.10.103","Computer","FLLY22S","FA10-11-187","Aug 25 2009 12:00AM","36","CH-HR-002"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","1024","DELL (CD/DVD0","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," 00-25-64-91-B0-F7","32 bit","Windows Vista","Windows XP","HR06","General OfficeFactory 1" 
"58","192.168.10.103","Monitor","CN-0M875N-64180-998-ZXVS","FA10-11-187","Aug 25 2009 12:00AM","36","CH-HR-002"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","HR06                        ","General OfficeFactory 1" 
"59","192.168.10.105","Computer","6TD8GY1","FA13-09-425","Sep 30 2013 12:00AM","36","CH-BP-004","OCTS-5609030","DELL","OptiPlex 3010","Intel Core i3 - 3220","3.30","1024","4096","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","A4-1F-72-98-85-14","32 bit","Windows 8","Windows 7","BOI04                                                             ","General OfficeFactory 1" 
"60","192.168.10.105","Monitor","CN-0DM06C-64180-37P-0HUL","FA13-09-425","Sep 30 2013 12:00AM","36","CH-BP-004","OCTS-5609030","DELL","E1713SC - LED 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI04                             ","General OfficeFactory 1" 
"61","192.168.10.106","Computer","9BJV72S","OF11-01-159","Feb 22 2013 12:00AM","36","CH-BP-003"," ","DELL","OptiPlex 380","Intel Core 2 Duo E7400","2.93","300","1024","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","BC-30-5B-AA-E5-31","32 bit","Windows 7","Windows 7","BOI03                      ","General OfficeFactory 1" 
"62","192.168.10.106","Monitor","CN-0M875N-64180-04R-165M","OF11-01-159","Feb 22 2013 12:00AM","36","CH-BP-003"," ","DELL","E170SC - 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI03                                   ","General OfficeFactory 1" 
"63","192.168.10.107","Computer","CNX9190Y82","OF09-06-008","Aug 3 2009 12:00AM"," ","CH-BP-001"," ","HP","Prvilion NJ019AA-AKL G3772","Intel Pentium Dual E2220","2.40","160","2048","HP (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-24-21-3D-27-1D","32 bit","Windows Vista","Windows XP","BOI01                                                                                                                    ","General OfficeFactory 1" 
"64","192.168.10.107","Monitor","E1916H "," ","Mar 8 2016 12:00AM"," "," "," ","DELL","E1916H   18\" LED"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI01","General OfficeFactory 1" 
"65","192.168.10.108","Computer","DCFYB2S","OF12-02-181","Mar 1 2012 12:00AM","36","CH-AC-004"," ","DELL","OptiPlex 390","Intel Core i3 - 2100","3.1","320","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","D0-67-E5-2A-44-19","32 bit","Windows 7","Windows 7","ACC04            ","General OfficeFactory 1" 
"66","192.168.10.108","Monitor","CN-0147F6-74261-570-261M"," ","Sep 11 2015 12:00AM","36","CH-AC-004"," ","DELL","E2016H - LCD 19.45 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","ACC04                                              ","General OfficeFactory 1" 
"67","192.168.10.110","Computer","HB9922S","OF09-07-034","Oct 12 2011 12:00AM","36","CH-BP-002"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","1024","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," 00-23-AE-9B-03-10","32 bit","Windows Vista","Windows XP","BOI02                                                                                         ","General OfficeFactory 1" 
"68","192.168.10.110","Monitor","CN-OM87N-64180-95Q-3PPU","OF09-07-034","Oct 12 2011 12:00AM","36","CH-BP-002"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI02","General OfficeFactory 1" 
"69","192.168.10.111","Computer","FB9922S","FA09-07-010","Aug 25 2009 12:00AM","36","CH-QC-002"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","1024","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-23-AE-9B-09-B9","32 bit","Windows Vista","Windows XP","QAQC07","QA/QC OfficeFactory 1" 
"70","192.168.10.111","Monitor","CN-0M875N-64180-95Q-3PNU","FA09-07-010","Aug 25 2009 12:00AM","36","CH-QC-002"," ","DELL","E1713SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC07","QA/QC OfficeFactory 1" 
"71","192.168.10.112","Computer","3C9922S","FA09-07-013","Aug 25 2009 12:00AM","36","CH-PC-008"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","4096","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-23-AE-9A-E5-C6","32 bit","Windows Vista","Windows XP","PC06                                                                                                                             ","Production OfficeFactory 1" 
"72","192.168.10.112","Monitor","CN-0M875N-64180-95Q-3PSU","FA09-07-013","Jan 20 2012 12:00AM","36","CH-PC-011"," ","DELL","E170SC - LCD 17 inch"," "," ","0","0"," "," "," "," "," "," "," "," ","PC06                                                                                                                                                            ","Production OfficeFactory 1" 
"73","192.168.10.112","Printers","G84Y183557","FA12-09-365","Sep 26 2012 12:00AM"," ","CD10"," ","EPSON","LQ-300 II"," "," ","0","0"," "," "," "," "," "," "," "," ","                                               ","Production OfficeFactory 1" 
"74","192.168.10.113","Computer","8GRJ4Y1","2FA13-07-054","Jun 19 2013 12:00AM","36","CH-PE-004"," ","DELL","OptiPlex 3010","Intel Core i3 - 3220","3.30","500","4096","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," ","32 bit","Windows 7","Windows 7","QAQC08                       ","QA/QC OfficeFactory 1" 
"75","192.168.10.113","Monitor","CN-ODM06C"," 2FA13-07-054","Jun 19 2013 12:00AM","36"," "," ","DELL","E1713Sc"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC08                       ","QA/QC OfficeFactory 1" 
"76","192.168.10.115","Computer","JB9922S","FA09-07-007","Aug 25 2009 12:00AM","36","CH-QC-003"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","1024","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-23-AE-9B-08-9F","32 bit","Windows Vista","Windows XP","QAQC01                                                                  ","QA/QC OfficeFactory 1" 
